gene_name,item_number,product_name
KDM4A,HZGHC001122c011,Human KDM4A 4bp insertion knockout cell line
KDM4A,HZGHC001122c012,Human KDM4A 1bp insertion knockout cell line
KDM6B,HZGHC001123c001,Human KDM6B 1bp insertion knockout cell line
KDM6B,HZGHC001123c002,Human KDM6B 62bp deletion knockout cell line
KDM6B,HZGHC001123c010,Human KDM6B 1bp insertion knockout cell line
L3MBTL2,HZGHC001126c003,Human L3MBTL2 17bp deletion knockout cell line
L3MBTL2,HZGHC001126c006,Human L3MBTL2 8bp deletion knockout cell line
L3MBTL2,HZGHC001126c011,Human L3MBTL2 8bp deletion knockout cell line
NSD1,HZGHC001127c002,Human NSD1 1bp deletion knockout cell line
NSD1,HZGHC001127c004,Human NSD1 2bp deletion knockout cell line
NSD1,HZGHC001127c010,Human NSD1 4bp deletion knockout cell line
EHMT1,HZGHC001128c005,Human EHMT1 1bp deletion knockout cell line
EHMT1,HZGHC001128c009,Human EHMT1 34bp deletion knockout cell line
EHMT1,HZGHC001128c011,Human EHMT1 7bp deletion knockout cell line
CARM1,HZGHC001129c002,Human CARM1 1bp insertion knockout cell line
CARM1,HZGHC001129c003,Human CARM1 1bp deletion knockout cell line
CARM1,HZGHC001129c007,Human CARM1 8bp deletion knockout cell line
EZH1,HZGHC001130c001,Human EZH1 2bp deletion knockout cell line
EZH1,HZGHC001130c002,Human EZH1 4bp deletion knockout cell line
EZH1,HZGHC001130c005,Human EZH1  knockout cell line
PRMT3,HZGHC001131c010,Human PRMT3 32bp deletion knockout cell line
PRMT3,HZGHC001131c011,Human PRMT3 1bp insertion knockout cell line
PRMT3,HZGHC001131c012,Human PRMT3 1bp insertion knockout cell line
PBRM1,HZGHC001135c003,Human PBRM1  knockout cell line
PBRM1,HZGHC001135c005,Human PBRM1  knockout cell line
PBRM1,HZGHC001135c010,Human PBRM1 8bp deletion knockout cell line
PBRM1,HZGHC001135c012,Human PBRM1 4bp deletion knockout cell line
RBBP7,HZGHC001138c008,Human RBBP7 1bp deletion knockout cell line
RBBP7,HZGHC001138c010,Human RBBP7 1bp insertion knockout cell line
RBBP7,HZGHC001138c012,Human RBBP7 5bp deletion knockout cell line
MEN1,HZGHC001139c001,Human MEN1 1bp insertion knockout cell line
MEN1,HZGHC001139c012,Human MEN1 7bp deletion knockout cell line
H2AFZ,HZGHC001140c002,Human H2AFZ  knockout cell line
H2AFZ,HZGHC001140c004,Human H2AFZ 4bp insertion knockout cell line
H2AFZ,HZGHC001140c006,Human H2AFZ 2bp deletion knockout cell line
H2AFZ,HZGHC001140c010,Human H2AFZ 1bp deletion knockout cell line
SP1,HZGHC001141c002,Human SP1 2bp deletion knockout cell line
SP1,HZGHC001141c011,Human SP1 1bp insertion knockout cell line
SP3,HZGHC001142c001,Human SP3 10bp deletion knockout cell line
SP3,HZGHC001142c007,Human SP3 2bp deletion knockout cell line
SP3,HZGHC001142c010,Human SP3 1bp insertion knockout cell line
KLF4,HZGHC001143c001,Human KLF4  knockout cell line
KDM3B,HZGHC001145c003,Human KDM3B 1bp deletion knockout cell line
KDM3B,HZGHC001145c010,Human KDM3B 1bp insertion knockout cell line
KDM3B,HZGHC001145c011,Human KDM3B 1bp insertion knockout cell line
CXXC1,HZGHC001160c006,Human CXXC1 29bp deletion knockout cell line
CXXC1,HZGHC001160c008,Human CXXC1 7bp deletion knockout cell line
HIF1A,HZGHC001165c003,Human HIF1A 17bp deletion knockout cell line
HIF1A,HZGHC001165c010,Human HIF1A 1bp insertion knockout cell line
DNMT3B,HZGHC001168c001,Human DNMT3B 1bp insertion knockout cell line
DNMT3B,HZGHC001168c002,Human DNMT3B 26bp deletion knockout cell line
DNMT3B,HZGHC001168c005,Human DNMT3B  knockout cell line
DNMT3B,HZGHC001168c007,Human DNMT3B 1bp insertion knockout cell line
MBD1,HZGHC001171c002,Human MBD1 1bp deletion knockout cell line
MBD1,HZGHC001171c003,Human MBD1 4bp deletion knockout cell line
MBD1,HZGHC001171c010,Human MBD1  knockout cell line
H3F3A,HZGHC001174c006,Human H3F3A 2bp insertion knockout cell line
H3F3A,HZGHC001174c007,Human H3F3A 2bp insertion knockout cell line
H3F3A,HZGHC001174c008,Human H3F3A  knockout cell line
PHF6,HZGHC001175c002,Human PHF6 2bp deletion knockout cell line
PHF6,HZGHC001175c006,Human PHF6 1bp insertion knockout cell line
PHF6,HZGHC001175c010,Human PHF6 1bp deletion knockout cell line
KDM5C,HZGHC001177c001,Human KDM5C 7bp deletion knockout cell line
KDM5C,HZGHC001177c002,Human KDM5C 5bp deletion knockout cell line
KDM5C,HZGHC001177c010,Human KDM5C 11bp deletion knockout cell line
CBX1,HZGHC001178c001,Human CBX1 32bp deletion knockout cell line
CBX1,HZGHC001178c002,Human CBX1 7bp deletion knockout cell line
CBX1,HZGHC001178c003,Human CBX1 10bp deletion knockout cell line
CBX5,HZGHC001179c006,Human CBX5 4bp deletion knockout cell line
CBX5,HZGHC001179c007,Human CBX5 2bp insertion knockout cell line
CBX5,HZGHC001179c010,Human CBX5 2bp deletion knockout cell line
CBX5,HZGHC001179c011,Human CBX5 7bp deletion knockout cell line
SETDB2,HZGHC001180c007,Human SETDB2 5bp deletion knockout cell line
SETDB2,HZGHC001180c008,Human SETDB2 23bp deletion knockout cell line
SETDB2,HZGHC001180c011,Human SETDB2 2bp deletion knockout cell line
RNF2,HZGHC001181c002,Human RNF2 7bp deletion knockout cell line
RNF2,HZGHC001181c003,Human RNF2 2bp insertion knockout cell line
RNF2,HZGHC001181c005,Human RNF2 10bp deletion knockout cell line
RNF2,HZGHC001181c007,Human RNF2 1bp insertion knockout cell line
RNF2,HZGHC001181c009,Human RNF2  knockout cell line
HAT1,HZGHC001186c001,Human HAT1 11bp deletion knockout cell line
HAT1,HZGHC001186c005,Human HAT1 7bp deletion knockout cell line
FAM175A,HZGHC001193c003,Human FAM175A 1bp insertion knockout cell line
FAM175A,HZGHC001193c007,Human FAM175A 1bp insertion knockout cell line
PARP3,HZGHC001196c003,Human PARP3 8bp deletion knockout cell line
PARP3,HZGHC001196c008,Human PARP3 19bp deletion knockout cell line
EED,HZGHC001200c001,Human EED 16bp deletion knockout cell line
EED,HZGHC001200c004,Human EED 4bp deletion knockout cell line
HELLS,HZGHC001202c003,Human HELLS 1bp insertion knockout cell line
TOP1,HZGHC001210c003,Human TOP1 8bp deletion knockout cell line
TOP1,HZGHC001210c009,Human TOP1 23bp deletion knockout cell line
CALM3,HZGHC001214c003,Human CALM3 7bp deletion knockout cell line
CALM3,HZGHC001214c012,Human CALM3 17bp deletion knockout cell line
CALM2,HZGHC001217c012,Human CALM2 4bp deletion knockout cell line
SEC23A,HZGHC001218c001,Human SEC23A 22bp deletion knockout cell line
SEC23A,HZGHC001218c006,Human SEC23A 2bp deletion knockout cell line
RAB3A,HZGHC001219c001,Human RAB3A 10bp deletion knockout cell line
RAB3A,HZGHC001219c002,Human RAB3A 1bp insertion knockout cell line
RAB3A,HZGHC001219c003,Human RAB3A 1bp insertion knockout cell line
RAB8A,HZGHC001221c001,Human RAB8A 1bp insertion knockout cell line
RAB8A,HZGHC001221c008,Human RAB8A 1bp deletion knockout cell line
SEC24B,HZGHC001222c002,Human SEC24B 5bp deletion knockout cell line
SEC24B,HZGHC001222c010,Human SEC24B 7bp deletion knockout cell line
SEC24A,HZGHC001223c010,Human SEC24A 5bp deletion knockout cell line
SEC24A,HZGHC001223c011,Human SEC24A 4bp deletion knockout cell line
RAB4A,HZGHC001224c006,Human RAB4A 8bp deletion knockout cell line
RAB1B,HZGHC001225c005,Human RAB1B 4bp deletion knockout cell line
RAB1B,HZGHC001225c011,Human RAB1B 11bp deletion knockout cell line
RAB31,HZGHC001226c010,Human RAB31 2bp deletion knockout cell line
RAB31,HZGHC001226c011,Human RAB31 4bp deletion knockout cell line
SCFD2,HZGHC001227c003,Human SCFD2 7bp deletion knockout cell line
SCFD2,HZGHC001227c009,Human SCFD2 17bp deletion knockout cell line
RAB14,HZGHC001230c007,Human RAB14 1bp insertion knockout cell line
SEC22C,HZGHC001231c001,Human SEC22C 13bp deletion knockout cell line
SEC22C,HZGHC001231c006,Human SEC22C 11bp deletion knockout cell line
RAB12,HZGHC001232c004,Human RAB12 1bp insertion knockout cell line
RAB6A,HZGHC001233c001,Human RAB6A 5bp deletion knockout cell line
RAB6A,HZGHC001233c012,Human RAB6A 17bp deletion knockout cell line
RAB13,HZGHC001234c001,Human RAB13 5bp deletion knockout cell line
RAB13,HZGHC001234c002,Human RAB13 2bp deletion knockout cell line
SEC24C,HZGHC001235c001,Human SEC24C 1bp deletion knockout cell line
RAB20,HZGHC001236c007,Human RAB20 1bp insertion knockout cell line
RAB20,HZGHC001236c011,Human RAB20 1bp insertion knockout cell line
SEC23IP,HZGHC001237c001,Human SEC23IP 2bp deletion knockout cell line
SEC23IP,HZGHC001237c010,Human SEC23IP 10bp deletion knockout cell line
RAB21,HZGHC001239c001,Human RAB21 1bp insertion knockout cell line
RAB21,HZGHC001239c011,Human RAB21 11bp deletion knockout cell line
RAB27A,HZGHC001240c001,Human RAB27A 2bp deletion knockout cell line
RAB27A,HZGHC001240c011,Human RAB27A 19bp deletion knockout cell line
ATG4B,HZGHC001241c010,Human ATG4B 8bp deletion knockout cell line
ATG4B,HZGHC001241c011,Human ATG4B 16bp deletion knockout cell line
ALPK1,HZGHC001243c012,Human ALPK1 13bp deletion knockout cell line
EIF2AK4,HZGHC001245c030,Human EIF2AK4 2bp insertion knockout cell line
FLT4,HZGHC001246c039,Human FLT4 5bp deletion knockout cell line
PIM2,HZGHC001248c026,Human PIM2 14bp deletion knockout cell line
STK17A,HZGHC001251c011,Human STK17A 20bp deletion knockout cell line
MAP2K4,HZGHC001253c016,Human MAP2K4 13bp deletion knockout cell line
STK3,HZGHC001256c002,Human STK3 8bp deletion knockout cell line
SLK,HZGHC001258c010,Human SLK 7bp deletion knockout cell line
TRIB1,HZGHC001267c024,Human TRIB1 25bp deletion knockout cell line
KIAA1804,HZGHC001268c020,Human KIAA1804 11bp deletion knockout cell line
OSR1,HZGHC001269c016,Human OSR1 22bp deletion knockout cell line
PRKCZ,HZGHC001273c002,Human PRKCZ 4bp deletion knockout cell line
MAP3K4,HZGHC001275c013,Human MAP3K4 17bp deletion knockout cell line
BCR,HZGHC001276c025,Human BCR 8bp deletion knockout cell line
MIOS,HZGHC001281c011,Human MIOS 2bp insertion knockout cell line
WDR24,HZGHC001282c011,Human WDR24 17bp deletion knockout cell line
NPRL3,HZGHC001287c003,Human NPRL3 14bp deletion knockout cell line
NPRL3,HZGHC001287c004,Human NPRL3 7bp deletion knockout cell line
DEPDC5,HZGHC001288c005,Human DEPDC5 2bp deletion knockout cell line
DEPDC5,HZGHC001288c012,Human DEPDC5 16bp deletion knockout cell line
TSC1,HZGHC001290c009,Human TSC1 1bp insertion knockout cell line
TSC1,HZGHC001290c011,Human TSC1 2bp deletion knockout cell line
NF2,HZGHC001293c001,Human NF2 8bp deletion knockout cell line
PTPN1,HZGHC001294c010,Human PTPN1 1bp insertion knockout cell line
PTPN1,HZGHC001294c012,Human PTPN1 5bp deletion knockout cell line
AGRN,HZGHC001296c007,Human AGRN 10bp deletion knockout cell line
AGRN,HZGHC001296c010,Human AGRN 13bp deletion knockout cell line
CAPNS1,HZGHC001298c004,Human CAPNS1 17bp deletion knockout cell line
CAPNS1,HZGHC001298c006,Human CAPNS1 2bp insertion knockout cell line
ANO5,HZGHC001300c003,Human ANO5 29bp deletion knockout cell line
ANO5,HZGHC001300c004,Human ANO5 7bp deletion knockout cell line
FURIN,HZGHC001302c001,Human FURIN 2bp deletion knockout cell line
FURIN,HZGHC001302c010,Human FURIN 4bp deletion knockout cell line
ZDHHC16,HZGHC001305c006,Human ZDHHC16 2bp insertion knockout cell line
ZDHHC16,HZGHC001305c009,Human ZDHHC16 1bp deletion knockout cell line
ZDHHC16,HZGHC001305c011,Human ZDHHC16 1bp insertion knockout cell line
ZDHHC18,HZGHC001308c011,Human ZDHHC18 2bp deletion knockout cell line
ZDHHC18,HZGHC001308c012,Human ZDHHC18 4bp deletion knockout cell line
LRBA,HZGHC001309c004,Human LRBA 7bp deletion knockout cell line
LRBA,HZGHC001309c006,Human LRBA 13bp deletion knockout cell line
LRBA,HZGHC001310c004,Human LRBA 17bp deletion knockout cell line
LRBA,HZGHC001310c011,Human LRBA 14bp deletion knockout cell line
FUS,HZGHC001314c002,Human FUS 10bp deletion knockout cell line
FUS,HZGHC001314c006,Human FUS 5bp deletion knockout cell line
PARK7,HZGHC001316c002,Human PARK7 5bp deletion knockout cell line
KMT2A,HZGHC001319c008,Human KMT2A 19bp deletion knockout cell line
KMT2A,HZGHC001319c012,Human KMT2A 32bp deletion knockout cell line
BRPF1,HZGHC001320c009,Human BRPF1 143bp insertion knockout cell line
BRPF1,HZGHC001320c011,Human BRPF1 2bp deletion knockout cell line
POMK,HZGHC001322c010,Human POMK 5bp deletion knockout cell line
POMK,HZGHC001322c011,Human POMK 2bp deletion knockout cell line
CBX5,HZGHC001330c005,Human CBX5 5bp deletion knockout cell line
CBX5,HZGHC001330c010,Human CBX5 1bp deletion knockout cell line
SETDB1,HZGHC001331c001,Human SETDB1 14bp deletion knockout cell line
SETDB1,HZGHC001331c010,Human SETDB1 5bp deletion knockout cell line
POMGNT2,HZGHC001334c002,Human POMGNT2 22bp deletion knockout cell line
POMGNT2,HZGHC001334c011,Human POMGNT2 4bp deletion knockout cell line
B3GALNT2,HZGHC001336c002,Human B3GALNT2 4bp deletion knockout cell line
POMK,HZGHC001338c001,Human POMK 1bp insertion knockout cell line
POMK,HZGHC001338c004,Human POMK 10bp deletion knockout cell line
BRD4,HZGHC001340c002,Human BRD4 5bp deletion knockout cell line
BRD4,HZGHC001340c004,Human BRD4 16bp deletion knockout cell line
LRRK1,HZGHC001345c012,Human LRRK1 13bp deletion knockout cell line
FGFR3,HZGHC001346c024,Human FGFR3 5bp deletion knockout cell line
RPS6KL1,HZGHC001347c002,Human RPS6KL1 1bp insertion knockout cell line
PIM1,HZGHC001348c003,Human PIM1 8bp deletion knockout cell line
FER,HZGHC001349c002,Human FER 1bp insertion knockout cell line
DDIT4,HZGHC001351c001,Human DDIT4 7bp deletion knockout cell line
DDIT4,HZGHC001351c005,Human DDIT4 2bp deletion knockout cell line
DDIT4L,HZGHC001352c010,Human DDIT4L 10bp deletion knockout cell line
EIF4EBP1,HZGHC001353c002,Human EIF4EBP1 14bp deletion knockout cell line
MLST8,HZGHC001356c002,Human MLST8 1bp insertion knockout cell line
SREBF1,HZGHC001361c012,Human SREBF1 19bp deletion knockout cell line
TSC2,HZGHC001363c004,Human TSC2 13bp deletion knockout cell line
TSC2,HZGHC001363c010,Human TSC2 2bp deletion knockout cell line
XBP1,HZGHC001364c011,Human XBP1 23bp deletion knockout cell line
XBP1,HZGHC001364c012,Human XBP1 2bp deletion knockout cell line
MSH5,HZGHC001367c010,Human MSH5 11bp deletion knockout cell line
MSH5,HZGHC001367c011,Human MSH5 2bp deletion knockout cell line
BPTF,HZGHC001369c010,Human BPTF 8bp deletion knockout cell line
BPTF,HZGHC001369c012,Human BPTF 16bp deletion knockout cell line
PHF3,HZGHC001370c005,Human PHF3 4bp deletion knockout cell line
PHF3,HZGHC001370c010,Human PHF3 8bp deletion knockout cell line
BAZ2B,HZGHC001374c002,Human BAZ2B 1bp insertion knockout cell line
EAPP,HZGHC001377c009,Human EAPP 2bp deletion knockout cell line
EAPP,HZGHC001378c003,Human EAPP 5bp deletion knockout cell line
EAPP,HZGHC001378c012,Human EAPP 11bp deletion knockout cell line
DMD,HZGHC001379c001,Human DMD 20bp deletion knockout cell line
DMD,HZGHC001379c003,Human DMD 5bp deletion knockout cell line
DMD,HZGHC001380c010,Human DMD 19bp deletion knockout cell line
DMD,HZGHC001380c011,Human DMD 7bp deletion knockout cell line
UTRN,HZGHC001381c010,Human UTRN 14bp deletion knockout cell line
UTRN,HZGHC001381c012,Human UTRN 19bp deletion knockout cell line
UTRN,HZGHC001382c001,Human UTRN 1bp insertion knockout cell line
UTRN,HZGHC001382c002,Human UTRN 14bp deletion knockout cell line
SLC33A1,HZGHC001384c002,Human SLC33A1 2bp deletion knockout cell line
SLC33A1,HZGHC001384c007,Human SLC33A1 5bp deletion knockout cell line
SIAE,HZGHC001387c002,Human SIAE 10bp deletion knockout cell line
SIAE,HZGHC001387c004,Human SIAE 20bp deletion knockout cell line
AEBP2,HZGHC001393c003,Human AEBP2 5bp deletion knockout cell line
AEBP2,HZGHC001393c006,Human AEBP2 2bp deletion knockout cell line
AEBP2,HZGHC001394c006,Human AEBP2 38bp deletion knockout cell line
AEBP2,HZGHC001394c012,Human AEBP2 2bp deletion knockout cell line
FKBP8,HZGHC001404c002,Human FKBP8 2bp deletion knockout cell line
FKBP8,HZGHC001404c003,Human FKBP8 13bp deletion knockout cell line
FGFR1,HZGHC001427c012,Human FGFR1 16bp deletion knockout cell line
MTCH2,HZGHC001428c011,HAP1 MTCH2 (-)
SLC37A4,HZGHC001454c004,Human SLC37A4 2bp deletion knockout cell line
SLC37A4,HZGHC001454c006,Human SLC37A4 5bp deletion knockout cell line
MAVS,HZGHC001456c011,Human MAVS 4bp deletion knockout cell line
MAVS,HZGHC001456c012,Human MAVS 2bp deletion knockout cell line
FLVCR1,HZGHC001469c004,Human FLVCR1 7bp deletion knockout cell line
PHIP,HZGHC001487c006,Human PHIP 2bp deletion knockout cell line
PHIP,HZGHC001487c008,Human PHIP 4bp deletion knockout cell line
SIAE,HZGHC001490c005,Human SIAE 8bp deletion knockout cell line
ADCK2,HZGHC001492c004,Human ADCK2 17bp deletion knockout cell line
BAZ2B,HZGHC001493c006,"Human BAZ2B, BAZ2B multiple knockout cell line"
RPS6KA4,HZGHC001494c011,Human RPS6KA4 10bp deletion knockout cell line
STRADB,HZGHC001495c019,Human STRADB 8bp deletion knockout cell line
ADCK3,HZGHC001506c003,Human ADCK3 1bp insertion knockout cell line
ADCK3,HZGHC001506c011,Human ADCK3 2bp deletion knockout cell line
CASP2,HZGHC001507c001,Human CASP2 1bp insertion knockout cell line
CASP2,HZGHC001507c008,Human CASP2 1bp deletion knockout cell line
CASP3,HZGHC001508c004,Human CASP3 1bp insertion knockout cell line
CASP6,HZGHC001509c004,Human CASP6 5bp deletion knockout cell line
CASP7,HZGHC001510c003,Human CASP7 14bp deletion knockout cell line
CASP7,HZGHC001510c004,Human CASP7 2bp deletion knockout cell line
CASP8,HZGHC001511c007,Human CASP8 2bp deletion knockout cell line
CASP8,HZGHC001511c011,Human CASP8 2bp insertion knockout cell line
CASP9,HZGHC001512c010,Human CASP9 1bp deletion knockout cell line
ADAR,HZGHC001513c010,Human ADAR 17bp deletion knockout cell line
ADAR,HZGHC001513c011,Human ADAR 31bp deletion knockout cell line
ADAM17,HZGHC001515c002,Human ADAM17 8bp deletion knockout cell line
ADAM17,HZGHC001515c003,Human ADAM17 1bp insertion knockout cell line
ADAM17,HZGHC001515c012,Human ADAM17 1bp insertion knockout cell line
ADAM10,HZGHC001517c012,Human ADAM10 20bp deletion knockout cell line
PRNP,HZGHC001519c003,Human PRNP 7bp deletion knockout cell line
PRNP,HZGHC001519c010,Human PRNP 19bp deletion knockout cell line
MBTPS1,HZGHC001520c005,Human MBTPS1 1bp insertion knockout cell line
MBTPS1,HZGHC001520c009,Human MBTPS1 5bp deletion knockout cell line
MBTPS1,HZGHC001520c011,Human MBTPS1 1bp insertion knockout cell line
MBTPS2,HZGHC001523c010,Human MBTPS2 1bp insertion knockout cell line
FZD5,HZGHC001528c001,Human FZD5 25bp deletion knockout cell line
UNG,HZGHC001531c005,Human UNG 10bp deletion knockout cell line
UNG,HZGHC001531c012,Human UNG 11bp deletion knockout cell line
NEIL1,HZGHC001534c001,"Human NEIL2, NEIL1 multiple knockout cell line"
NEIL1,HZGHC001534c007,"Human NEIL2, NEIL1 multiple knockout cell line"
NEIL3,HZGHC001536c002,Human NEIL3 2bp deletion knockout cell line
NEIL3,HZGHC001536c004,Human NEIL3 10bp deletion knockout cell line
NEIL3,HZGHC001536c021,HAP1 NEIL3 (-)
NEIL3,HZGHC001536c023,HAP1 NEIL3 (-)
NEIL3,HZGHC001536c024,HAP1 NEIL3 (-)
MPG,HZGHC001537c002,Human MPG 13bp deletion knockout cell line
MPG,HZGHC001537c003,Human MPG 2bp deletion knockout cell line
NTHL1,HZGHC001539c010,Human NTHL1 1bp insertion knockout cell line
NTHL1,HZGHC001540c010,Human NTHL1 5bp deletion knockout cell line
NTHL1,HZGHC001540c011,Human NTHL1 10bp deletion knockout cell line
AGO1,HZGHC001541c005,Human AGO1 11bp deletion knockout cell line
NEIL2,HZGHC001545c011,Human NEIL2 5bp deletion knockout cell line
NEIL2,HZGHC001545c012,Human NEIL2 2bp deletion knockout cell line
NEIL2,HZGHC001545c017,HAP1 NEIL2 (-)
NEIL2,HZGHC001545c018,HAP1 NEIL2 (-)
OGG1,HZGHC001548c004,"Human MUTYH, OGG1 multiple knockout cell line"
NEIL1,HZGHC001550c001,"Human NEIL3, NEIL1 multiple knockout cell line"
NEIL1,HZGHC001550c004,"Human NEIL3, NEIL1 multiple knockout cell line"
MUS81,HZGHC001551c004,"Human NEIL3, MUS81 multiple knockout cell line"
MUS81,HZGHC001551c008,"Human NEIL3, MUS81 multiple knockout cell line"
DXO,HZGHC001555c009,Human DXO 20bp deletion knockout cell line
EXD2,HZGHC001557c003,Human EXD2 4bp deletion knockout cell line
EXD2,HZGHC001557c007,Human EXD2 8bp deletion knockout cell line
SETX,HZGHC001565c001,Human SETX 25bp deletion knockout cell line
SETX,HZGHC001565c005,Human SETX 5bp deletion knockout cell line
SLC1A3,HZGHC001578c010,Human SLC1A3 2bp deletion knockout cell line
SLC1A3,HZGHC001578c011,Human SLC1A3 1bp deletion knockout cell line
SLC1A4,HZGHC001585c002,Human SLC1A4 8bp deletion knockout cell line
BLM,HZGHC001636c001,"Human NEIL3, BLM multiple knockout cell line"
BLM,HZGHC001636c008,"Human NEIL3, BLM multiple knockout cell line"
MTCH1,HZGHC001651c001,Human MTCH1 1bp insertion knockout cell line
SLC27A4,HZGHC001656c001,Human SLC27A4 43bp deletion knockout cell line
SLC27A4,HZGHC001656c002,Human SLC27A4 4bp deletion knockout cell line
LYN,HZGHC001664c005,Human LYN 13bp deletion knockout cell line
LYN,HZGHC001664c023,Human LYN 22bp deletion knockout cell line
SLC44A1,HZGHC001665c001,Human SLC44A1 2bp deletion knockout cell line
SLC12A9,HZGHC001677c001,Human SLC12A9 16bp deletion knockout cell line
SLC12A9,HZGHC001677c012,Human SLC12A9 11bp deletion knockout cell line
SLC7A6,HZGHC001688c011,Human SLC7A6 8bp deletion knockout cell line
SLC38A5,HZGHC001691c011,Human SLC38A5 28bp deletion knockout cell line
SLC12A7,HZGHC001697c005,Human SLC12A7 7bp deletion knockout cell line
SLC12A7,HZGHC001697c006,Human SLC12A7 2bp deletion knockout cell line
SLC12A6,HZGHC001702c002,Human SLC12A6 10bp deletion knockout cell line
SLC12A6,HZGHC001702c011,Human SLC12A6 22bp deletion knockout cell line
SLC25A19,HZGHC001709c003,Human SLC25A19 5bp deletion knockout cell line
SLC25A19,HZGHC001709c008,Human SLC25A19 145bp deletion knockout cell line
SLC25A32,HZGHC001715c007,Human SLC25A32 239bp insertion knockout cell line
SLC25A32,HZGHC001715c010,Human SLC25A32 8bp deletion knockout cell line
SLC12A4,HZGHC001720c006,Human SLC12A4 11bp deletion knockout cell line
SLC12A4,HZGHC001720c007,Human SLC12A4 17bp deletion knockout cell line
SLC27A3,HZGHC001727c012,Human SLC27A3 8bp deletion knockout cell line
SLC25A12,HZGHC001735c010,Human SLC25A12 2bp deletion knockout cell line
SLC25A12,HZGHC001735c011,Human SLC25A12 5bp deletion knockout cell line
SLC7A1,HZGHC001741c010,Human SLC7A1 2bp deletion knockout cell line
SLC7A1,HZGHC001741c012,Human SLC7A1 4bp deletion knockout cell line
SLC38A10,HZGHC001745c006,Human SLC38A10 17bp deletion knockout cell line
SLC38A10,HZGHC001745c009,Human SLC38A10 5bp deletion knockout cell line
SLC30A7,HZGHC001751c005,Human SLC30A7 20bp deletion knockout cell line
SLC30A7,HZGHC001751c012,Human SLC30A7 28bp deletion knockout cell line
SLC25A1,HZGHC001753c003,Human SLC25A1 2bp insertion knockout cell line
SLC25A1,HZGHC001753c010,Human SLC25A1 1bp insertion knockout cell line
BEND3,HZGHC001754c002,Human BEND3 10bp deletion knockout cell line
BEND3,HZGHC001754c004,Human BEND3 13bp deletion knockout cell line
SLC25A40,HZGHC001757c005,Human SLC25A40 26bp deletion knockout cell line
SLC25A40,HZGHC001757c012,Human SLC25A40 1bp insertion knockout cell line
SLC19A1,HZGHC001771c002,Human SLC19A1 8bp deletion knockout cell line
SLC19A1,HZGHC001771c012,Human SLC19A1 10bp deletion knockout cell line
LRP1,HZGHC001773c001,Human LRP1 5bp deletion knockout cell line
LRP1,HZGHC001773c010,Human LRP1 4bp deletion knockout cell line
LRP1,HZGHC001774c001,Human LRP1 2bp deletion knockout cell line
LRP1,HZGHC001774c009,Human LRP1 5bp deletion knockout cell line
SLC30A1,HZGHC001777c010,Human SLC30A1 1bp insertion knockout cell line
SLC30A1,HZGHC001777c011,Human SLC30A1 1bp insertion knockout cell line
SORT1,HZGHC001782c002,Human SORT1 1bp insertion knockout cell line
SORT1,HZGHC001782c010,Human SORT1 1bp insertion knockout cell line
GNPTG,HZGHC001784c005,Human GNPTG 14bp deletion knockout cell line
GNPTG,HZGHC001784c012,Human GNPTG 2bp deletion knockout cell line
GNPTAB,HZGHC001785c004,Human GNPTAB 4bp deletion knockout cell line
GNPTAB,HZGHC001785c005,Human GNPTAB 4bp deletion knockout cell line
ETFB,HZGHC001787c010,Human ETFB 4bp deletion knockout cell line
GCDH,HZGHC001789c009,Human GCDH 4bp deletion knockout cell line
GCDH,HZGHC001789c010,Human GCDH 22bp deletion knockout cell line
ZDHHC3,HZGHC001792c010,Human ZDHHC3 10bp deletion knockout cell line
ZDHHC3,HZGHC001792c012,Human ZDHHC3 8bp deletion knockout cell line
ZDHHC4,HZGHC001794c001,Human ZDHHC4 1bp insertion knockout cell line
ZDHHC4,HZGHC001794c005,Human ZDHHC4 1bp insertion knockout cell line
ZDHHC4,HZGHC001794c007,Human ZDHHC4 2bp insertion knockout cell line
ZDHHC4,HZGHC001795c010,Human ZDHHC4 2bp deletion knockout cell line
ZDHHC4,HZGHC001795c011,Human ZDHHC4 11bp deletion knockout cell line
ZDHHC7,HZGHC001796c003,Human ZDHHC7 5bp deletion knockout cell line
ZDHHC7,HZGHC001796c010,Human ZDHHC7 2bp deletion knockout cell line
ZDHHC8,HZGHC001798c004,Human ZDHHC8 10bp deletion knockout cell line
ZDHHC8,HZGHC001798c005,Human ZDHHC8 10bp deletion knockout cell line
ZDHHC8,HZGHC001799c011,Human ZDHHC8 1bp insertion knockout cell line
ZDHHC9,HZGHC001801c009,Human ZDHHC9 4bp deletion knockout cell line
ZDHHC9,HZGHC001801c012,Human ZDHHC9 14bp deletion knockout cell line
ZDHHC23,HZGHC001805c002,Human ZDHHC23 7bp deletion knockout cell line
ZDHHC23,HZGHC001805c012,Human ZDHHC23 19bp deletion knockout cell line
RAB5A,HZGHC001809c001,Human RAB5A 19bp deletion knockout cell line
RAB5A,HZGHC001809c010,Human RAB5A 2bp deletion knockout cell line
NPRL2,HZGHC001810c001,Human NPRL2 1bp insertion knockout cell line
NPRL2,HZGHC001810c002,Human NPRL2 2bp insertion knockout cell line
SLC43A1,HZGHC001814c001,Human SLC43A1 2bp insertion knockout cell line
GCDH,HZGHC001824c004,Human GCDH 13bp deletion knockout cell line
